t,v_mps,v_kph,acc_mps2,P_req_shaft_W,P_brake_avail_shaft_W,P_engine_mech_W,P_motor_mech_W,P_batt_W,SOC,engine_on,fuel_total_L
47.0,6.527777777777778,23.5,0.13888888888888928,2425.891935575185,0.0,0.0,2425.891935575185,2636.8390604078095,0.5758454373948012,False,0.0
48.0,6.666666666666666,24.0,0.1388888888888884,2482.074516908207,0.0,0.0,2482.074516908207,2697.907083595877,0.5747936217676684,False,0.0
49.0,6.805555555555555,24.5,0.13888888888888928,2538.545594618059,0.0,0.0,2538.545594618059,2759.288689802238,0.5737178756897727,False,0.0
50.0,6.944444444444445,25.0,0.13888888888888928,2595.311179045898,0.0,0.0,2595.311179045898,2820.9904120064107,0.5726180743595558,False,0.0
51.0,7.083333333333333,25.5,0.1388888888888884,2652.377280532905,0.0,0.0,2652.377280532905,2883.0187831879402,0.5714940904284884,False,0.0
52.0,7.222222222222222,26.0,0.13888888888888928,2709.7499094202944,0.0,0.0,2709.7499094202944,2945.380336326407,0.5703457940010707,False,0.0
53.0,7.361111111111111,26.5,0.1388888888888884,2767.4350760492093,0.0,0.0,2767.4350760492093,3008.0816044013145,0.5691730526348324,False,0.0
54.0,7.5,27.0,0.13888888888888928,2825.438790760874,0.0,0.0,2825.438790760874,3071.129120392254,0.5679757313403325,False,0.0
55.0,7.638888888888888,27.5,0.1388888888888884,2883.7670638964314,0.0,0.0,2883.7670638964314,3134.52941727873,0.5667536925811595,False,0.0
56.0,7.777777777777778,28.0,0.13888888888888928,2942.4259057971058,0.0,0.0,2942.4259057971058,3198.289028040332,0.5655067962739314,False,0.0
57.0,7.916666666666666,28.5,0.1388888888888884,3001.42132680404,0.0,0.0,3001.42132680404,3262.414485656565,0.5642348997882952,False,0.0
58.0,8.055555555555555,29.0,0.13888888888888928,3060.759337258459,0.0,0.0,3060.759337258459,3326.9123231070203,0.562937857946928,False,0.0
59.0,8.194444444444445,29.5,0.13888888888888928,3120.445947501514,0.0,0.0,3120.445947501514,3391.789073371211,0.5616155230255356,False,0.0
60.0,8.333333333333334,30.000000000000004,0.13888888888888928,3180.487167874401,0.0,0.0,3180.487167874401,3457.0512694286967,0.5602677447528539,False,0.0
61.0,8.333333333333334,30.000000000000004,0.0,1406.6345108695655,0.0,0.0,1406.6345108695655,1528.950555293006,0.5596716626650203,False,0.0
62.0,8.333333333333334,30.000000000000004,0.0,1406.6345108695655,0.0,0.0,1406.6345108695655,1528.950555293006,0.5590755805771868,False,0.0
63.0,8.333333333333334,30.000000000000004,0.0,1406.6345108695655,0.0,0.0,1406.6345108695655,1528.950555293006,0.5584794984893532,False,0.0
64.0,8.333333333333334,30.000000000000004,0.0,1406.6345108695655,0.0,0.0,1406.6345108695655,1528.950555293006,0.5578834164015197,False,0.0
65.0,8.333333333333334,30.000000000000004,0.0,1406.6345108695655,0.0,0.0,1406.6345108695655,1528.950555293006,0.5572873343136862,False,0.0
66.0,8.333333333333334,30.000000000000004,0.0,1406.6345108695655,0.0,0.0,1406.6345108695655,1528.950555293006,0.5566912522258526,False,0.0
67.0,8.333333333333334,30.000000000000004,0.0,1406.6345108695655,0.0,0.0,1406.6345108695655,1528.950555293006,0.556095170138019,False,0.0
68.0,8.333333333333334,30.000000000000004,0.0,1406.6345108695655,0.0,0.0,1406.6345108695655,1528.950555293006,0.5554990880501854,False,0.0
69.0,8.333333333333334,30.000000000000004,0.0,1406.6345108695655,0.0,0.0,1406.6345108695655,1528.950555293006,0.5549030059623519,False,0.0
70.0,8.333333333333334,30.000000000000004,0.0,1406.6345108695655,0.0,0.0,1406.6345108695655,1528.950555293006,0.5543069238745183,False,0.0
71.0,8.333333333333334,30.000000000000004,0.0,1406.6345108695655,0.0,0.0,1406.6345108695655,1528.950555293006,0.5537108417866847,False,0.0
